Section,HorzCoord
75N,
A02,longitude
A03,longitude
A05,longitude
A09,longitude
A10,longitude
A12,latitude
A13,latitude
A16-A23,latitude
A20,latitude
A22,latitude
AR07E,longitude
AR07W,latitude
I01,longitude
I02,longitude
I03-I04,longitude
I05,longitude
I06S,latitude
I07,latitude
I08N,
I08S-I09N,latitude
I09S,latitude
I10,
IR06,
IR06E,
IR06-I10,
P01,longitude
P02,longitude
P03,longitude
P04,longitude
P06,longitude
P09,latitude
P10,latitude
P11,latitude
P13,latitude
P14,latitude
P15,latitude
P16,latitude
P17,latitude
P17E,latitude
P18,latitude
P21,longitude
S04I,longitude
S04P,longitude
SR01,latitude
SR03,latitude
SR04,
