Expocode,Variable,Gridding,Factor
06MT19921227,G2theta,isobaric,8
06MT19921227,G2theta,isopycnic,10.0
06MT19921227,G2tco2,isopycnic,10.0
49NZ20031106,G2theta,isobaric,5
49NZ20031106,G2salinity,isobaric,5
33RO20110926,G2theta,isobaric,5
33RO20110926,G2salinity,isobaric,3
33RO20110926,G2tco2,isobaric,1.5
49NZ20070724,G2tco2,isobaric,1.3
49NZ20070724,G2salinity,isobaric,4
49NZ20070724,G2theta,isobaric,4
49K619990523,G2theta,isobaric,4
49K619990523,G2tco2,isobaric,4
49K619990523,G2salinity,isobaric,4
49NZ20140717,G2theta,isobaric,3
49NZ20140717,G2salinity,isobaric,4
49NZ20140717,G2tco2,isobaric,2
29HE19920714,G2cstar,isobaric,2
74DI20040404,G2cstar,isobaric,2
29AH20110128,G2cstar,isobaric,1
29HE19920714,G2ttd,isobaric,3
33RO19980123,G2ttd,isobaric,2
33RO19980123,G2phi,isobaric,3
74DI20040404,G2phi,isobaric,4
29AH20110128,G2phi,isobaric,3
74DI20040404,G2troca,isobaric,2
29AH20110128,G2troca,isobaric,1.5
49NZ20031209,G2salinity,isobaric,1.5
35MF19930123,G2tco2,isobaric,2
49NZ20030803,G2tco2,isobaric,2
318M20091121,G2tco2,isobaric,1.5
316N19920502,G2tco2,isobaric,5
06MT20091026,G2theta,isobaric,3
06MT20091026,G2salinity,isobaric,3
29AH20090725,G2tco2,isobaric,4
29AH20090725,G2theta,isobaric,4
29AH20090725,G2salinity,isobaric,4
74DI19980423,G2tco2,isobaric,0.5
49NZ20030803,G2tco2,isobaric,2
318M20091121,G2tco2,isobaric,2
49K619990523,G2salinity,isobaric,2
33MW1990022,G2theta,isobaric,5
33MW1990022,G2tco2,isobaric,3
33MW1990022,G2salinity,isobaric,3
31DS19960105,G2theta,isobaric,3
31DS19960105,G2tco2,isobaric,3
31DS19960105,G2salinity,isobaric,3
09SS20090203,G2theta,isobaric,3
09SS20090203,G2tco2,isobaric,3
09SS20090203,G2salinity,isobaric,3
096U20160426,G2theta,isobaric,2
096U20160426,G2tco2,isobaric,3
096U20160426,G2salinity,isobaric,2
09FA20010524,G2theta,isobaric,2
09FA20010524,G2tco2,isobaric,2
09FA20010524,G2salinity,isobaric,2
33RO20130803,G2theta,isobaric,2
33RO20130803,G2tco2,isobaric,2
33RO20130803,G2salinity,isobaric,2
316N19970815,G2theta,isobaric,3
316N19970815,G2salinity,isobaric,3
35MF19930123,G2tco2,isobaric,5
35MF19930123,G2theta,isobaric,5
35MF19930123,G2salinity,isobaric,5
35MF19960220,G2tco2,isobaric,3
35MF19960220,G2theta,isobaric,3
35MF19960220,G2salinity,isobaric,3
33RR20080204,G2tco2,isobaric,3
33RR20080204,G2theta,isobaric,3
33RR20080204,G2salinity,isobaric,3
09AR19940101,G2tco2,isobaric,6
09AR19940101,G2theta,isobaric,3
09AR19940101,G2salinity,isobaric,10
09AR19941213,G2tco2,isobaric,3
09AR19941213,G2theta,isobaric,3
09AR19941213,G2salinity,isobaric,6
09AR20080322,G2tco2,isobaric,3
09AR20080322,G2theta,isobaric,3
09AR20080322,G2salinity,isobaric,2
096U20180111,G2tco2,isobaric,6
096U20180111,G2theta,isobaric,3
096U20180111,G2salinity,isobaric,10
49RY19940707,G2theta,isobaric,2
49RY20100706,G2theta,isobaric,3
320620170820,G2theta,isobaric,3
320620170820,G2tco2,isobaric,3
320620170820,G2salinity,isobaric,3
29HE19920714,G2oxygen,isobaric,4
33RO19980123,G2oxygen,isobaric,4
74DI20040404,G2oxygen,isobaric,2.5
74DI20100106,G2oxygen,isobaric,2.5
29AH20110128,G2oxygen,isobaric,3
74EQ20151206,G2oxygen,isobaric,2.5
320620170820,G2cfc11,isobaric,2
